will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
False,-3.5988355939029724,5
False,-3.557348555647011,6
False,-5.222037468739279,7
True,-6.052053284646084,8
False,-1.865230411738357,1
False,-2.4174080870219523,2
False,-2.479758633270599,3
False,-3.0091164126207963,4
False,-3.853604699299805,5
False,-4.028551099951214,6
False,-4.031991685011773,7
True,-3.8598027871885825,8
False,-3.4823672724889767,1
False,-4.5482130584014735,2
False,-4.895198501200794,3
False,-5.030574301995019,4
False,-4.824100279778966,5
False,-4.831547359129479,6
False,-5.168449955516606,7
True,-4.791310054055884,8
False,-3.879791660053259,1
False,-4.687217436506949,2
False,-4.9686382493623835,3
False,-5.009422437671047,4
False,-4.856038505387555,5
True,-4.218113067963198,6
False,-3.5466844096981274,1
False,-3.727512623574136,2
False,-4.414542278171083,3
False,-4.752816075942073,4
False,-4.168850419973097,5
False,-4.286468241422895,6
True,-4.749002434684728,7
False,-1.8929318415213519,1
False,-2.3127193669304873,2
False,-2.341206282760407,3
False,-2.262557663473097,4
False,-2.3439621363285923,5
False,-2.544933447310366,6
False,-2.60816771637354,7
True,-2.721090493605574,8
False,-2.7364774890261514,1
False,-3.3102848526444983,2
False,-3.5455018704687293,3
False,-3.966901340117478,4
False,-3.9153617963183787,5
False,-3.7306726367972867,6
True,-4.048818991001833,7
False,-5.9412218620602255,1
False,-7.0424595170740005,2
False,-7.115723606162834,3
False,-7.140852816893023,4
False,-7.36094935468546,5
False,-7.488025845948306,6
True,-7.733707894278487,7
False,-2.2582636027014757,1
False,-2.380446675303523,2
False,-3.307541946640662,3
False,-3.6331671924214533,4
False,-4.201559476033755,5
False,-4.706419660908888,6
True,-5.139864992123814,7
False,-3.437907965608036,1
False,-3.910267619485502,2
False,-4.165827029268878,3
False,-4.366862412691015,4
False,-4.254034606224039,5
False,-4.161334189396954,6
True,-4.540403474824287,7
False,-1.957327177112657,1
True,-3.148561845215461,2
False,-3.5693405786039323,1
False,-4.458423429413229,2
False,-4.498643058829379,3
False,-4.53505438640799,4
False,-4.604960630245497,5
True,-4.833613877921801,6
False,-5.037545440941782,1
False,-5.557888538424251,2
False,-6.054908719664517,3
False,-6.450294875755592,4
False,-6.4335245462917605,5
True,-6.315328834673373,6
False,-3.5429381066545202,1
False,-4.301120981670688,2
False,-4.611430060993933,3
False,-5.089623959979517,4
False,-5.1079051532143795,5
True,-4.906487166992093,6
False,-2.189893182530007,1
False,-2.698874185607572,2
False,-2.851051187779372,3
False,-2.880298984056136,4
False,-2.894998657453177,5
True,-3.025951247449705,6
False,-2.9258216089943505,1
False,-3.2298895750671286,2
False,-3.578156772864466,3
False,-3.2833814662583864,4
False,-3.230134297969092,5
True,-3.3956665945999585,6
True,-3.6259700688691536,1
False,-5.16676285458551,1
False,-5.797592105901712,2
False,-5.85027795403613,3
False,-6.051603854882793,4
False,-5.940864081965743,5
True,-5.697249312043447,6
True,-3.0672563536777897,1
False,-2.436370499270816,1
False,-2.8929571318442573,2
False,-3.0323966830232645,3
False,-3.0948928980958454,4
False,-3.1484589708114643,5
False,-3.2137570464880194,6
True,-3.2587207523852304,7
False,-2.436370499270816,1
False,-2.8929571318442573,2
False,-3.0323966830232645,3
False,-3.0948928980958454,4
False,-3.1484589708114643,5
False,-3.2137570464880194,6
True,-3.2587207523852304,7
False,-2.436370499270816,1
False,-2.8929571318442573,2
False,-3.0323966830232645,3
False,-3.0948928980958454,4
False,-3.1484589708114643,5
False,-3.2137570464880194,6
True,-3.2587207523852304,7
False,-4.3082669573896135,1
False,-4.779129408932963,2
False,-5.025927934881549,3
False,-5.14682387699377,4
False,-5.246349323298168,5
True,-3.2670056816415936,6
False,-4.3082669573896135,1
False,-4.779129408932963,2
False,-5.025927934881549,3
False,-5.14682387699377,4
False,-5.246349323298168,5
True,-3.2670056816415936,6
False,-1.6269378786105215,1
False,-2.2963983643045904,2
False,-2.196326523465845,3
False,-2.56531854117418,4
False,-2.591887061936124,5
False,-2.8782970735627917,6
True,-3.3490135930723417,7
False,-4.078026376575463,1
False,-5.03025940268526,2
False,-5.190313365402489,3
False,-5.450424660150643,4
True,-5.8425586265130205,5
False,-2.5160264450656964,1
False,-3.076663625813091,2
False,-3.106386347549518,3
False,-2.712639290332837,4
False,-2.7518345759320764,5
True,-2.90916865967398,6
False,-2.3775706659434497,1
False,-3.0179300901026918,2
False,-3.1532476585395948,3
False,-3.038665278121539,4
False,-3.228542160632819,5
True,-3.048746169667601,6
False,-3.9412045668585827,1
False,-4.8122654611838405,2
False,-5.050650569151931,3
False,-5.1933435276986355,4
False,-5.153599504535549,5
True,-4.84825648779934,6
False,-3.9412045668585827,1
False,-4.8122654611838405,2
False,-5.050650569151931,3
False,-5.1933435276986355,4
False,-5.153599504535549,5
True,-4.84825648779934,6
False,-2.22580413699618,1
False,-2.7314758407178603,2
False,-2.813593097955986,3
False,-2.825586460773679,4
True,-3.135471262219738,5
False,-3.2959877286996857,1
False,-3.704600509549202,2
True,-2.5049974038938974,3
False,-2.012027457296021,1
False,-2.5846028198389677,2
False,-2.909946158417566,3
False,-2.3113395485793777,4
False,-2.3046585163053996,5
True,-2.8541475979093884,6
False,-2.2127518775709665,1
False,-2.793702308419971,2
False,-3.058286050907553,3
False,-3.162053733353502,4
True,-3.033653146550277,5
False,-4.1062245596291165,1
False,-4.816629505587476,2
False,-4.930666657753445,3
False,-4.92461716676983,4
True,-4.832689119262348,5
False,-3.488856129157707,1
False,-4.085476528357079,2
False,-4.292069747454495,3
False,-4.3254562831854875,4
True,-4.48941996648113,5
False,-3.590352678034675,1
False,-4.380524281215669,2
False,-5.167790574129219,3
False,-5.31923551018764,4
True,-5.082079265462264,5
False,-3.532239790816311,1
False,-3.9900068359459495,2
False,-4.365642733701387,3
True,-4.822132229287537,4
True,-2.309354965979992,1
False,-3.8608329969407533,1
False,-4.685041257725546,2
False,-5.004748435277125,3
True,-5.1265014078136755,4
False,-3.591188118036654,1
False,-4.524136649441459,2
False,-5.270193000127615,3
True,-5.558364132875165,4
False,-5.322783674731905,1
False,-5.995257345346678,2
False,-6.157709434757811,3
True,-6.207900427372643,4
False,-5.2191995600038315,1
False,-5.714211881510354,2
False,-6.133020645837163,3
True,-6.168398004147235,4
False,-4.163958179634588,1
False,-4.912676991290073,2
False,-5.012461051503202,3
True,-5.072428201658005,4
False,-2.4046623609108253,1
False,-2.79509362886026,2
False,-3.054438235379085,3
True,-3.2395778430921016,4
False,-2.4843475709736387,1
False,-2.979122634808057,2
True,-2.7214709220812736,3
False,-4.219507705176107,1
False,-4.843872076218154,2
True,-5.329753516024317,3
False,-6.4241826132978295,1
False,-6.723412981752755,2
True,-6.852137129103597,3
False,-3.7823326231710483,1
False,-4.329371251539988,2
True,-4.5317030341062186,3
False,-3.7823326231710483,1
False,-4.329371251539988,2
True,-4.5317030341062186,3
False,-3.248565665891796,1
False,-3.4519282643620515,2
True,-4.210515082738967,3
False,-3.248565665891796,1
False,-3.4519282643620515,2
True,-4.210515082738967,3
False,-3.668032167903414,1
False,-4.247207326494951,2
True,-4.379772978529273,3
False,-3.668032167903414,1
False,-4.247207326494951,2
True,-4.379772978529273,3
False,-5.311323179413065,1
False,-5.665982719354598,2
True,-5.876087914531376,3
False,-2.8330045413190077,1
False,-3.4385342370811873,2
True,-3.7352464507985985,3
False,-4.112686294826953,1
False,-4.751941079996478,2
True,-4.906809348585551,3
False,-5.6602130847267995,1
False,-7.814467892413631,2
True,-7.7468181972974595,3
False,-5.6602130847267995,1
False,-7.814467892413631,2
True,-7.7468181972974595,3
False,-3.614659476245868,1
False,-4.626383952261138,2
True,-4.983042632178687,3
False,-4.087137125947707,1
False,-4.5469239902003755,2
