will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
False,-2.3499651439675096,2
False,-2.8867237256725873,3
True,-3.4615667208677516,4
False,-1.6462388321750117,1
True,-2.9477607397325234,2
False,-2.704193946178259,1
False,-4.096076744112136,2
False,-4.954354671713177,3
True,-5.303958567866642,4
False,-1.7746099159519169,1
False,-2.335309142819864,2
True,-3.4167065417770637,3
False,-1.7746099159519169,1
False,-2.335309142819864,2
True,-3.4167065417770637,3
False,-2.703637662352982,1
False,-3.3902401337817336,2
False,-3.6419552441289484,3
True,-3.9725250892154604,4
False,-1.9404306832906877,1
False,-2.073965826423873,2
False,-2.034217999057808,3
True,-2.535572265661088,4
False,-0.4875978196073276,1
False,-1.3689133358155186,2
False,-1.882233741717296,3
True,-1.9532736721132196,4
False,-0.4875978196073276,1
False,-1.3689133358155186,2
False,-1.882233741717296,3
True,-1.9532736721132196,4
False,-2.018512520826698,1
False,-2.9520677230322327,2
True,-3.14014745019929,3
False,-1.6751106037616892,1
False,-2.96408507438183,2
False,-3.400954198039953,3
True,-3.7959086391383843,4
False,-1.94340022478646,1
False,-2.579807936154479,2
True,-2.7212526602159204,3
False,-2.1162895789836726,1
True,-2.422213669630516,2
False,-1.4374062406358719,1
False,-2.4178706169591098,2
False,-3.173067329924649,3
True,-3.60768725200554,4
False,-1.2025101353596284,1
False,-1.4825463726516648,2
True,-1.8732625733040325,3
False,-2.38685763314675,1
True,-3.241570265726057,2
True,-2.5649493574615367,1
True,-3.6991209481661333,1
True,-2.190201817000381,1
True,-2.542299447784653,1
True,-3.247409561733091,1
True,-4.225126396238707,1
True,-4.225126396238707,1
False,1.106540661512638,1
False,-1.1311123650681767,2
False,-2.2634239905557707,3
False,-2.8526222663137886,4
False,-3.2433280082208,5
False,-3.759424085033918,6
True,-4.072934185496749,7
False,0.7011761555855457,1
False,-0.8673548555621092,2
False,-1.871465636437732,3
False,-2.3566389827240064,4
True,-2.52695048276229,5
False,-0.34347595202935133,1
False,-1.5097854195558387,2
False,-2.5030335518596236,3
True,-2.957213826621581,4
False,-0.019591103389460424,1
False,-1.0095604632007371,2
False,-1.634496456119279,3
False,-2.016986737193273,4
False,-2.280039869821746,5
False,-2.24939685067556,6
True,-2.343463552571682,7
False,-0.9361866643523925,1
False,-1.3260817137136183,2
False,-3.4153156984132553,3
False,-4.017435867937372,4
False,-4.346126170151385,5
False,-4.586611290578788,6
False,-4.791831076982916,7
True,-4.87338602883224,8
False,-0.5070785250377803,1
False,-1.882720583883715,2
False,-2.6747345976492523,3
True,-2.9226982322039126,4
False,-0.30112844397094873,1
False,-1.7848676903922494,2
True,-2.8200923684237877,3
False,3.5868572766976965,1
False,-0.4885817876228213,2
False,-1.2356048699173137,3
False,-1.5224570881542159,4
False,-1.5730856317090152,5
False,-1.542569596577839,6
False,-1.7823790183902744,7
False,-1.996571641851072,8
True,-2.1693054137742225,9
False,-0.8655899262729254,1
False,-2.4659530937671605,2
False,-3.1069845461779324,3
False,-3.5692531045451763,4
False,-3.8739389526104917,5
False,-3.976408299506196,6
True,-4.296809583499511,7
False,-0.49980996819453394,1
False,-1.7754968758141187,2
False,-2.688952252199901,3
True,-2.951789415418611,4
False,-1.1560895668393099,1
False,-2.2020543338286793,2
False,-2.705739980964874,3
False,-2.862031518578314,4
False,-3.2680551698170146,5
True,-3.518346344984397,6
False,-0.7324265333103013,1
False,-1.7370497693618439,2
False,-2.301419229864317,3
False,-2.754459666137751,4
True,-2.9372664759231992,5
False,-0.7324265333103013,1
False,-1.7370497693618439,2
False,-2.301419229864317,3
False,-2.754459666137751,4
True,-2.9372664759231992,5
False,-0.12510540908292458,1
False,-1.4692193620369893,2
False,-2.293938387806908,3
False,-2.849111663167024,4
True,-2.7060796918581156,5
False,-0.12510540908292458,1
False,-1.4692193620369893,2
False,-2.293938387806908,3
False,-2.849111663167024,4
True,-2.7060796918581156,5
True,-0.7130077345551096,1
False,-2.1442565489725163,1
False,-2.734281325019195,2
False,-3.400946192082645,3
False,-3.921629103576609,4
True,-4.4197946346331225,5
False,-0.7550190512942355,1
False,-2.180542465346495,2
False,-3.1885221219860616,3
False,-3.8777299257968125,4
True,-4.532059326743748,5
False,-2.0040952889869814,1
True,-2.94732988299803,2
False,-2.0040952889869814,1
True,-2.94732988299803,2
False,-2.0040952889869814,1
True,-2.94732988299803,2
False,-0.980466276377899,1
False,-1.8726710852810602,2
False,-2.768818967524297,3
False,-3.6258310502701057,4
True,-4.355506580647126,5
False,-1.0885917488606751,1
True,-1.7192194349839904,2
False,0.031153645694089682,1
False,-1.2667033978205395,2
False,-1.861085234936302,3
False,-2.0094442601443574,4
True,-2.0714790898221365,5
False,-1.8618610797068371,1
True,-2.8601447686841457,2
False,-1.6953781310350131,1
True,-2.0569668780888324,2
False,-2.1267795883881275,1
False,-2.5267006031553327,2
False,-2.7804453247126935,3
True,-3.2536754644629458,4
False,2.3375834943528058,1
False,-0.6989624042351906,2
False,-1.3840977540920965,3
False,-3.5628854260332226,4
False,-4.017770432527456,5
True,-4.417796995290454,6
False,-0.4044850809809787,1
False,-1.4688598180423926,2
True,-2.484091134566575,3
False,-0.4044850809809787,1
False,-1.4688598180423926,2
True,-2.484091134566575,3
False,-1.243227269905176,1
True,-3.2432173134283824,2
False,0.1418178915029463,1
False,-1.1276265062598754,2
False,-1.62192280268148,3
False,-1.8385395738516384,4
True,-2.1848936018635947,5
False,-0.11200951597249856,1
False,-0.814356084790488,2
False,-1.32308970695132,3
False,-1.5747003465232354,4
False,-1.430956715461491,5
True,-1.13728689635285,6
True,-1.8289617072055453,1
False,-2.111695547609298,1
False,-2.7380733887256192,2
False,-3.061368051335684,3
False,-3.5700822188022,4
True,-3.9140598964797912,5
False,-1.889694801070863,1
False,-2.6968507943197895,2
False,-3.5903660110376183,3
True,-3.788267913816928,4
False,-2.2689919876083158,1
False,-3.019966930713274,2
False,-3.4864538945059356,3
True,-4.013420990637538,4
False,-2.960052723570519,1
False,-3.685944337288714,2
False,-3.9728807391226866,3
True,-4.172681532211702,4
False,-2.780396098679562,1
True,-2.9186968494862318,2
False,-2.1165091415757344,1
False,-2.7762992211210156,2
False,-3.155833830340855,3
True,-3.52934725304177,4
False,-2.2558986672410337,1
False,-2.9450546406667897,2
False,-3.2206427787962713,3
True,-3.416154657780675,4
False,-1.0529965934382324,1
False,-1.4939497372126849,2
False,-1.9374647512101273,3
False,-2.1899657190907678,4
True,-2.3495228305995504,5
False,-1.0529965934382324,1
False,-1.4939497372126849,2
False,-1.9374647512101273,3
False,-2.1899657190907678,4
True,-2.3495228305995504,5
False,-1.0529965934382324,1
False,-1.4939497372126849,2
False,-1.9374647512101273,3
False,-2.1899657190907678,4
True,-2.3495228305995504,5
False,-0.5156981413564976,1
